login_variance,claim_interval_std,session_duration_mean,income_deviation,claim_velocity_7d,is_fraud
19.1408,160.1398,529.95,0.1211,0.0,0
65.6356,189.002,336.22,0.0822,0.0,0
35.6486,121.3354,546.75,0.1186,1.0,0
58.2354,46.4725,198.86,0.1247,1.0,0
56.3622,169.3561,477.35,0.08,0.0,0
73.2331,51.5636,512.24,0.1372,0.0,0
47.8243,109.1566,678.68,0.09,1.0,0
54.5672,178.037,531.02,0.1348,1.0,0
38.6912,117.1352,303.6,0.1647,0.0,0
62.066,125.9545,552.46,0.0702,1.0,0
53.0615,178.5072,267.34,0.1523,0.0,0
41.3827,196.8919,348.28,0.1117,0.0,0
49.8018,90.4378,546.66,0.0294,0.0,0
44.9081,196.2536,190.96,0.1081,0.0,0
9.4913,182.0235,132.16,0.1356,0.0,0
19.4575,168.3906,388.6,0.2255,0.0,0
17.9713,225.4225,447.56,0.1673,1.0,0
0.5081,0.2513,2.6217,0.2482,6.0,1
49.8429,96.3733,222.85,0.0655,0.0,0
63.1916,68.4129,527.82,0.2238,0.0,0
37.9314,63.5193,146.9493,0.5028,2.0,1
13.6596,70.1793,256.35,0.1435,1.0,0
67.0725,109.7014,220.22,0.0452,1.0,0
94.2169,1.8986,132.5134,0.2156,5.0,1
62.8268,181.7624,163.82,0.0673,0.0,0
95.2901,1.821,465.4417,0.255,3.0,1
27.4389,42.5821,147.8,0.0567,0.0,0
24.9593,68.9586,192.47,0.1679,1.0,0
67.8247,48.7204,551.55,0.0978,0.0,0
93.0383,1.0896,314.0835,0.3671,3.0,1
10.07,56.1525,640.06,0.1285,0.0,0
55.5199,179.3237,538.76,0.1612,0.0,0
35.158,115.9619,602.32,0.1372,0.0,0
20.8638,143.5522,239.84,0.046,1.0,0
14.8522,107.6799,219.68,0.1756,0.0,0
28.0273,35.3868,170.98,0.1195,0.0,0
46.4499,140.8584,337.34,0.0675,2.0,0
28.3131,76.7838,136.08,0.1636,0.0,0
55.4791,92.582,183.26,0.2321,0.0,0
30.5628,110.0978,391.1,0.1034,0.0,0
27.7652,123.4819,168.43,0.2203,0.0,0
53.6563,138.7068,202.16,0.0081,0.0,0
16.6282,38.1915,376.51,0.013,2.0,0
59.4014,26.2108,228.73,0.1427,0.0,0
715.4952,0.3671,45.3537,0.5951,2.0,1
38.8164,76.5266,554.42,0.1804,1.0,0
51.4392,42.7382,504.53,0.0388,0.0,0
12.6322,196.9324,508.36,0.0699,0.0,0
20.8935,122.7124,173.19,0.0388,0.0,0
14.1956,184.5233,479.68,0.0985,0.0,0
51.5547,174.524,173.52,0.1488,0.0,0
6.8378,200.3371,507.96,0.0247,0.0,0
73.4549,22.7219,302.77,0.1107,0.0,0
28.9234,28.422,500.01,0.1246,0.0,0
72.137,201.2612,176.56,0.0453,0.0,0
49.6849,131.3062,554.3,0.1627,0.0,0
42.2867,167.9124,284.64,0.0258,1.0,0
0.5281,0.2533,11.4079,0.335,3.0,1
15.59,40.192,618.86,0.0716,0.0,0
18.124,142.9771,516.2,0.0911,1.0,0
74.6639,166.8147,206.63,0.1741,0.0,0
22.8174,109.264,103.49,0.0355,0.0,0
51.9788,87.0349,169.58,0.2059,0.0,0
75.5793,185.9827,305.68,0.2097,0.0,0
13.6353,181.4822,435.96,0.1028,0.0,0
49.9558,192.9188,414.27,0.1695,0.0,0
8.8647,88.2284,568.77,0.0622,2.0,0
0.4609,0.2134,8.9231,0.3502,5.0,1
17.3689,117.4386,189.87,0.1589,1.0,0
32.5516,186.4919,280.18,0.1036,1.0,0
37.2301,29.0043,189.14,0.0992,0.0,0
35.6785,129.1041,426.19,0.1412,0.0,0
49.4176,68.1115,191.75,0.2262,0.0,0
14.7323,153.3753,368.07,0.0724,1.0,0
46.0264,60.406,407.05,0.0472,1.0,0
50.1361,172.3432,471.47,0.034,0.0,0
83.4438,73.4566,320.04,0.1166,1.0,0
15.2119,133.6861,288.24,0.0016,0.0,0
11.6346,51.5984,251.7348,0.6077,3.0,1
37.3573,145.8587,237.05,0.0212,1.0,0
1.0618,0.2775,6.31,0.5367,3.0,1
24.7213,62.4605,230.03,0.1554,0.0,0
58.9724,116.9343,402.65,0.1067,0.0,0
26.4112,66.4061,447.44,0.0975,0.0,0
56.7022,73.7561,400.06,0.0257,0.0,0
19.0047,139.3394,505.86,0.0726,1.0,0
72.5899,64.6615,139.53,0.092,2.0,0
8.9422,106.5172,275.86,0.1669,0.0,0
40.4991,1.9473,192.7178,0.3636,4.0,1
44.6018,192.8608,474.33,0.0999,0.0,0
13.3218,24.2111,446.25,0.1769,0.0,0
46.2282,127.237,154.43,0.0591,0.0,0
723.8179,0.3039,123.2048,0.1647,2.0,1
78.131,39.0713,131.57,0.0157,1.0,0
22.9567,57.331,386.22,0.0531,1.0,0
44.0857,170.0754,303.18,0.1885,1.0,0
0.6829,0.022,10.6205,0.4962,3.0,1
55.885,99.5081,440.75,0.1029,1.0,0
50.7932,94.0416,443.68,0.0133,2.0,0
47.7115,175.1673,570.81,0.1363,0.0,0
8.8114,93.897,152.64,0.2202,0.0,0
24.9081,218.0324,525.39,0.1702,0.0,0
31.8734,173.9663,323.77,0.1567,0.0,0
10.564,70.7986,481.7,0.0079,2.0,0
48.7193,182.323,406.25,0.2225,0.0,0
67.8294,127.4879,207.32,0.157,2.0,0
12.2893,50.104,223.95,0.075,0.0,0
39.9219,67.0393,148.09,0.0763,1.0,0
43.4722,89.617,99.1196,0.6403,2.0,1
10.424,148.7438,304.74,0.1538,0.0,0
63.8528,194.922,396.8,0.0209,0.0,0
36.6959,110.4084,202.17,0.1153,0.0,0
67.6607,220.1996,302.04,0.111,1.0,0
18.8564,101.388,220.76,0.0736,1.0,0
